timestamp,event_source,client_id,topic,qos,retain,payload_size,payload_is_json,payload_has_temp_hum_keys,msg_rate_in_window,attack_label,description
1745412465.9621153,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9631152,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9631152,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,3,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9631152,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,92,True,True,4,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9641163,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,5,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9641163,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,6,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412465.9641163,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,7,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412468.740801,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.7418537,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.7418537,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,3,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.7418537,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,4,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.7428546,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,5,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.7428546,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,6,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412468.743854,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,7,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412469.7090049,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7090049,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7100096,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,3,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7110083,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,4,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7110083,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,5,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7120073,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,6,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7120073,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,7,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412469.7130063,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,92,True,True,8,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412470.9436796,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,8,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412471.6656525,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,8,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412474.6690042,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,91,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412474.6690042,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412474.6690042,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,92,True,True,9,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412480.1204545,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412480.1214552,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412480.1214552,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412484.6631434,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,92,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412484.6631434,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412486.3773868,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412490.014945,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,92,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412490.014945,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412490.014945,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,92,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412494.582183,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412494.8898566,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,92,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412495.6325502,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412499.7373245,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412499.7373245,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412499.738378,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412505.9272504,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412505.9272504,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,92,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412505.928252,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412510.1760557,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412510.1760557,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412510.1760557,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,2,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412515.3572972,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412515.3583014,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412515.3583014,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412520.75864,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412520.7596931,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_001/data
1745412520.7596931,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412526.7321131,observer,sensor_002,iot/simulation/data/sensor_002/data,0,False,92,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_002/data
1745412526.7321131,observer,sensor_003,iot/simulation/data/sensor_003/data,0,False,93,True,True,1,NORMAL,Message received on iot/simulation/data/sensor_003/data
1745412717.490333,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,92,True,True,1,DOS_PUB,Message received on iot/simulation/data/sensor_001/data
1745412717.491336,observer,sensor_001,iot/simulation/data/sensor_001/data,0,False,93,True,True,2,DOS_PUB,Message received on iot/simulation/data/sensor_001/data
